schema_name,table_name,column_name,data_type,is_nullable,column_default,description
enrichment,hunter_contact,source_2,text,YES,,
enrichment,hunter_contact,source_3,text,YES,,
enrichment,hunter_contact,source_4,text,YES,,
enrichment,hunter_contact,source_5,text,YES,,
enrichment,hunter_contact,source_6,text,YES,,
enrichment,hunter_contact,source_7,text,YES,,
enrichment,hunter_contact,source_8,text,YES,,
enrichment,hunter_contact,source_9,text,YES,,
enrichment,hunter_contact,source_10,text,YES,,
enrichment,hunter_contact,source_11,text,YES,,
enrichment,hunter_contact,source_12,text,YES,,
enrichment,hunter_contact,source_13,text,YES,,
enrichment,hunter_contact,source_14,text,YES,,
enrichment,hunter_contact,source_15,text,YES,,
enrichment,hunter_contact,source_16,text,YES,,
enrichment,hunter_contact,source_17,text,YES,,
enrichment,hunter_contact,source_18,text,YES,,
enrichment,hunter_contact,source_19,text,YES,,
enrichment,hunter_contact,source_20,text,YES,,
enrichment,hunter_contact,source_21,text,YES,,
enrichment,hunter_contact,source_22,text,YES,,
enrichment,hunter_contact,source_23,text,YES,,
enrichment,hunter_contact,source_24,text,YES,,
enrichment,hunter_contact,source_25,text,YES,,
enrichment,hunter_contact,source_26,text,YES,,
enrichment,hunter_contact,source_27,text,YES,,
enrichment,hunter_contact,source_28,text,YES,,
enrichment,hunter_contact,source_29,text,YES,,
enrichment,hunter_contact,source_30,text,YES,,
enrichment,hunter_contact,source_file,character varying,YES,,
